source_code,source_unit,target_code,target_unit,target_display,conversion_function,row_count_in_source
3041934,0,53222-6,,Coagulation factor XI activated [Units/volume] in Platelet poor plasma by Coagulation assay,$this,7
3042349,8554,40824-5,,von Willebrand factor (vWf) cleaving protease inhibitor [Units/volume] in Platelet poor plasma,$this,2
3043151,0,32644-7,,Coxiella burnetii phase 1 IgG Ab [Presence] in Serum,$this,1
3044254,0,40988-8,,Respiratory syncytial virus RNA [Presence] in Specimen by NAA with probe detection,$this,5
3044495,0,43408-4,,Bacteria identified in Tissue by Culture,$this,34
3044624,9332,34589-2,,von Willebrand factor (vWf) cleaving protease [Presence] in Platelet poor plasma,$this,5
3044644,8736,34146-1,,Neopterin [Moles/volume] in Cerebral spinal fluid,$this,1
3044904,0,34163-6,,Oxygen content in Blood,$this,2
3044904,8753,34163-6,,Oxygen content in Blood,$this,14306
3044938,0,34487-9,,Influenza virus A RNA [Presence] in Specimen by NAA with probe detection,$this,6
3045191,8749,34347-5,,Normetanephrine [Moles/volume] in Urine,$this,5
3045317,44777656,44924-9,,Normetanephrine/Creatinine [Molar ratio] in 24 hour Urine,$this,5
3045958,8923,44910-8,,Alpha-1-Fetoprotein [Units/volume] in Body fluid,$this,1
3046044,44777652,33354-2,,N-acetyl-beta-glucosaminidase [Enzymatic activity/volume] in Urine,$this,1
3046071,8923,45194-8,,Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma,$this,4
3046110,0,43928-1,,Coxiella burnetii phase 2 IgM Ab [Presence] in Serum by Immunofluorescence,$this,1
3046299,8636,33358-3,,Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis,$this,320
3046538,0,46128-5,,Tissue transglutaminase IgA Ab [Units/volume] in Serum by Immunoassay,$this,23
3046760,0,44099-0,,Galactomannan Ag [Presence] in Serum or Plasma by Immunoassay,$this,12
3046904,8748,33858-2,,Somatotropin [Units/volume] in Serum or Plasma,$this,1
3047169,8751,33944-0,,Lambda light chains.free [Mass/volume] in Serum or Plasma,$this,300
3047181,0,32693-4,,Lactate [Moles/volume] in Blood,$this,2
3047181,8753,32693-4,,Lactate [Moles/volume] in Blood,$this,14800
3047350,0,44555-1,,Kappa light chains.free [Presence] in Serum by Immunofixation,$this,20
3048689,8720,38445-3,,Calprotectin [Mass/mass] in Stool,$this,11
3048878,0,48848-6,,Coxiella burnetii phase 1 IgA Ab [Titer] in Serum by Immunofluorescence,$this,1
3049126,8751,48498-0,,Amyloid A [Mass/volume] in Serum or Plasma,$this,5
3049398,0,46266-3,,Myeloperoxidase Ab [Units/volume] in Serum by Immunoassay,$this,34
3049714,8748,47255-5,,Procollagen type I.N-terminal propeptide [Mass/volume] in Serum,$this,1
3049863,0,48719-9,,Coxiella burnetii phase 2 IgG Ab [Presence] in Serum by Immunofluorescence,$this,1
3050100,44777656,48381-8,,3-Methoxytyramine/Creatinine [Molar ratio] in 24 hour Urine,$this,5
3050446,0,48720-7,,Coxiella burnetii phase 1 IgG Ab [Presence] in Serum by Immunofluorescence,$this,1
3050479,8554,38518-7,,Immature granulocytes/100 leukocytes in Blood,$this,1162
3051339,8749,47100-3,,Copper [Moles/volume] in Blood,$this,6
3051384,8749,48380-0,,3-Methoxytyramine [Moles/volume] in 24 hour Urine,$this,5
3051593,0,46418-0,,INR in Capillary blood by Coagulation assay,$this,17
3051669,0,46267-1,,Proteinase 3 Ab [Units/volume] in Serum by Immunoassay,$this,34
3051714,0,48065-7,,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,$this,825
3052067,0,48508-6,,Measles virus RNA [Presence] in Specimen by NAA with probe detection,$this,1
3052662,8636,47600-2,,Ceruloplasmin [Moles/volume] in Serum or Plasma,$this,23
3053140,8751,47109-4,,Gentamicin [Moles/volume] in Serum or Plasma,$this,22
3053209,0,48378-4,,Kappa light chains.free/Lambda light chains.free [Mass Ratio] in Serum,$this,297
3053310,0,48995-5,,N-acetyl-beta-glucosaminidase/Creatinine [Ratio] in Urine,$this,1
3661601,0,,,Minimum alveolar concentration,$this,11144
4011919,8554,,,Hemoglobin saturation with oxygen,$this,213207
4022240,0,38208-5,,Pain score,$this,156114
4029625,8587,,,Tidal volume,$this,16036
4030916,8753,,,Base excess,$this,40
4062985,0,,,Ideal body weight,$this,4077
4068414,8876,8462-4,mmHg,Non-invasive diastolic arterial pressure,$this,82418
4083352,0,,,Glasgow Coma Scale motor response subscore,$this,33253
4084277,0,,,Glasgow Coma Score eye opening subscore,$this,33342
4084912,0,,,Glasgow Coma Scale verbal response subscore,$this,33278
4087260,0,,,Peak expiratory flow rate,$this,9
4087260,8698,,,Peak expiratory flow rate,$this,122
4090199,8587,,,Oral fluid input,$this,85469
4090322,710215,,,Static lung compliance,$this,69
4090654,710215,,,Dynamic compliance,$this,71
4093836,0,,,Glasgow coma score,$this,239
4098070,0,,,Blood group antibody screening,$this,1220
4099154,8504,29463-7,kg,Body weight,$this / 1000,12516
4101694,44777590,,,Peak inspiratory pressure,$this,19735
4108160,0,,,Right ventricular end-diastolic cavity size,$this,40
4108289,0,,,Non-invasive mean arterial pressure,$this,2214
4108289,8876,,,Non-invasive mean arterial pressure,$this,10479
4108290,8876,,,Invasive mean arterial pressure,$this,51621
4108446,0,,,Total breath rate,$this,7158
4108449,8555,,,Ventilation cycle time,$this,4999
4108450,8523,,,Inspiration/expiration time ratio,$this,13318
4108582,0,8806-2,%,Left ventricular ejection fraction,$this,331
4108585,0,,,Left ventricular end-diastolic cavity size,$this,57
4113561,8587,,,Vomit volume,$this,437
4124782,0,,,N - Regional lymph node stage,$this,5
4126828,0,,,M - Distant metastasis stage,$this,4
4137519,8554,,,Inspired sevoflurane concentration,$this,4312
4140731,8554,,,Expired sevoflurane concentration,$this,4052
4141684,8698,,,Delivered oxygen flow rate,$this,60647
4150245,0,,,Expected FEV1/FVC ratio,$this,6
4150403,0,,,Expected forced vital capacity,$this,3
4152194,0,8480-6,mmHg,Systolic blood pressure,$this,127635
4154790,0,8462-4,mmHg,Diastolic blood pressure,$this,127635
4155154,0,,,Measurement of blood pressure using cuff method,$this,172795
4161972,0,,,Date of report,$this,4
4165590,0,,,Symptom checklist,$this,39
4171261,0,,,Right atrial pressure,$this,1020
4176265,8519,,,Forced vital capacity,$this,12
4177340,8582,8302-2,cm,Body height measure,$this,4078
4180306,0,,,Urodynamic study using catheter,$this,1
4191836,8587,,,24 hour urine output,$this,35920
4193645,8698,,,Gas flow rate (v),$this,33
4196583,8554,,,FEV1/FVC percent,$this,3
4201235,0,8277-6,m2,Body surface area,$this,1824
4201235,8617,8277-6,m2,Body surface area,$this,3832
4208254,32710,,,Cardiac index,$this,75
4208972,0,,,Percent predicted FEV1,$this,3
4208972,8519,,,Percent predicted FEV1,$this,3
4215838,0,,,Inspiratory pressure setting,$this,2672
4215838,44777590,,,Inspiratory pressure setting,$this,6568
4216746,44777590,,,Positive end expiratory pressure setting,$this,7465
4220163,8587,,,Tidal volume setting,$this,153
4221102,8698,,,Cardiac output,$this,364
4224504,0,8867-4,bpm,Pulse,$this,201764
4236281,8876,,,Lying diastolic blood pressure,$this,109759
4237865,0,,,Size of pupil,$this,20719
4239021,0,8478-0,mmHg,Mean blood pressure,$this,14571
4241837,8519,,,Forced expired volume in 1 second,$this,18
4245997,0,39156-5,kg/m2,Body mass index,$this,10257
4248525,8876,,,Lying systolic blood pressure,$this,109759
4264378,8587,,,Measure of urine output,$this,55510
4264765,0,,,Blood pressure taking,$this,173308
4268883,8876,,,Standing diastolic blood pressure,$this,1861
4292062,8876,,,Standing systolic blood pressure,$this,1861
4296538,0,35088-4,,Glasgow coma scale,$this,35530
4301868,0,8867-4,bpm,Pulse rate,$this,227324
4302666,0,8310-5,Cel,Body temperature,$this,186619
4313591,0,9279-1,/min,Respiratory rate,$this,216533
4313591,8541,9279-1,/min,Respiratory rate,$this,16
4323687,8876,60985-9,mmHg,Central venous pressure,$this,1272
4353612,0,3150-0,%,Oxygen concentration,$this,109
4353713,44777590,,,Positive end expiratory pressure,$this,21327
4353717,8698,,,Ventilator delivered minute volume,$this,8540
4353718,0,,,Mandatory breath rate,$this,3046
4353825,0,,,Pulmonary valve function,$this,2
4353843,8876,76215-3,mmHg,Invasive systolic arterial pressure,$this,28983
4353936,8554,3150-0,%,Inspired oxygen concentration,$this,48798
4353938,44777602,,,End tidal carbon dioxide concentration,$this,20093
4353947,8555,,,Inspiratory time,$this,106
4353953,8876,,,Intracranial pressure,$this,106
4353969,0,,,Left ventricular segmental wall thickness,$this,652
4353973,0,,,Left ventricular end-systolic cavity size,$this,48
4354062,0,,,Right ventricular cavity size,$this,51
4354252,8876,8480-6,mmHg,Non-invasive systolic arterial pressure,$this,82418
4354253,8876,76213-8,mmHg,Invasive diastolic arterial pressure,$this,28983
21490805,8876,76092-6,,Maximum gradient during systole [Pressure] Aortic valve,$this,1181
21490991,32738,78185-6,cm/s,Mitral valve medial annulus Tissue velocity.E-wave.max by US.tissue doppler,$this,34
21490991,44777606,78185-6,cm/s,Mitral valve medial annulus Tissue velocity.E-wave.max by US.tissue doppler,$this * 100,828
21491101,32738,78186-4,cm/s,Mitral valve lateral annulus Tissue velocity.E-wave.max by US.tissue doppler,$this,23
21491101,44777606,78186-4,cm/s,Mitral valve lateral annulus Tissue velocity.E-wave.max by US.tissue doppler,$this * 100,809
21491102,0,78187-2,cm/s,Mitral valve medial annulus Tissue velocity.S-wave.max by US.tissue doppler,$this,47
21491102,44777606,78187-2,cm/s,Mitral valve medial annulus Tissue velocity.S-wave.max by US.tissue doppler,$this * 100,904
21492062,8554,78175-7,,Right ventricular Fractional area change by US 2D,$this,161
21492066,9483,78179-9,,Mitral valve Orifice area by US.2D+Measured by planimetry,$this,3
21492070,0,78188-0,cm/s,Mitral valve lateral annulus Tissue velocity.S-wave.max by US.tissue doppler,$this,47
21492070,44777606,78188-0,cm/s,Mitral valve lateral annulus Tissue velocity.S-wave.max by US.tissue doppler,$this * 100,904
21492073,9593,78191-4,,Mitral valve E-wave deceleration time by US.doppler,$this,762
21492455,8736,79276-2,,"7,8-Dihydrobiopterin [Moles/volume] in Cerebral spinal fluid",$this,1
21493291,0,81386-5,,Mitral valve Maximum E-wave velocity/Tissue velocity.E-wave.max by US.doppler+tissue doppler,$this,1298
21493291,44777606,81386-5,,Mitral valve Maximum E-wave velocity/Tissue velocity.E-wave.max by US.doppler+tissue doppler,$this,6
21493304,8554,81399-8,,Left ventricular Maximum longitudinal strain by US 2D,$this,130
21494004,8582,79967-6,,Inferior vena cava Diameter at end expiration by US 2D,$this,543
21494006,8582,79969-2,cm,Interventricular septum Thickness at end diastole by US 2D,$this,1337
21494032,8587,79995-7,mL,Left ventricular End-diastolic volume by US.3D.segmentation,$this,7
21494037,8587,80000-3,mL,Left ventricular End-systolic volume by US.3D.segmentation,$this,7
21494172,44777606,80029-2,,Left ventricular outflow tract Maximum blood flow velocity during systole by US.doppler,$this,1201
21494178,8587,80035-9,,Left ventricular Stroke volume by US.3D.segmentation,$this,7
21494191,8554,80056-5,,Mitral valve Regurgitant fraction by US.doppler+Calculated by PISA method,$this,3
21494194,8582,80059-9,cm,Mitral valve PISA radius during systole [Length] by US.2D+doppler,$this,131
21494310,44777606,80066-4,,Mitral valve Maximum A-wave velocity by US.doppler,$this,669
21494313,9483,80069-8,,Mitral valve Effective orifice area during diastole by US.doppler pressure half time,$this,34
36713656,0,,,Wong-Baker FACES pain assessment scale,$this,132
37020250,0,92491-0,,little c Ag inferred phenotype [Presence] in Blood or Tissue by Molecular genetics method,$this,11
37020923,0,92513-1,,C Ag inferred phenotype [Presence] in Blood or Tissue by Molecular genetics method,$this,11
37021365,0,92496-9,,K Ag inferred phenotype [Presence] in Blood or Tissue by Molecular genetics method,$this,11
37021375,0,92490-2,,little e Ag inferred phenotype [Presence] in Blood or Tissue by Molecular genetics method,$this,11
37021506,0,92506-5,,E Ag inferred phenotype [Presence] in Blood or Tissue by Molecular genetics method,$this,11
37208354,0,,,Royal College of Physicians NEWS2 (National Early Warning Score 2),$this,31586
37208375,0,,,Royal College of Physicians NEWS2 (National Early Warning Score 2) - oxygen saturation scale 1 score,$this,143212
37208376,0,,,Royal College of Physicians NEWS2 (National Early Warning Score 2) - oxygen saturation scale 2 score,$this,28679
37208388,0,,,Alert Confusion Voice Pain Unresponsive scale score,$this,187184
37208881,0,,,SNAQ (Simplified Nutritional Appetite Questionnaire) score,$this,7500
37311267,0,,,Weight loss,$this,7422
37392682,8753,,,Base excess,$this,786
37392971,8748,,,Serum procalcitonin level,$this,58
37393102,8753,,,Blood potassium level,$this,39
37393103,8753,,,Blood sodium level,$this,40
37393104,8753,,,Blood chloride level,$this,39
37393251,8753,,,Arterial blood lactate level,$this,38
40480168,0,,,Bristol stool form score,$this,33186
40483383,0,,,Canadian Study of Health and Aging clinical frailty scale,$this,920
40483579,8554,2708-6,%,Arterial oxygen saturation,$this,12534
40484595,0,,,Number of lymph nodes examined by microscopy in excised specimen,$this,1
40757349,0,54218-3,,CD3+CD4+ (T4 helper) cells/CD3+CD8+ (T8 suppressor cells) cells [# Ratio] in Blood,$this,20
40759659,0,56539-0,,Intrinsic factor Ab [Units/volume] in Serum by Immunoassay,$this,2
40759747,8751,56628-1,,Amikacin [Moles/volume] in Serum or Plasma,$this,7
40759807,0,56688-5,,IgD [Units/volume] in Serum,$this,3
40762338,8736,59247-7,,Tetrahydrobiopterin [Moles/volume] in Cerebral spinal fluid,$this,1
40762352,9579,59261-8,,Hemoglobin A1c/Hemoglobin.total in Blood by IFCC protocol,$this,647
40762485,0,59394-7,,Glomerular basement membrane Ab [Units/volume] in Serum by Immunoassay,$this,61
40763313,0,60258-1,,Bacteria identified in Bone marrow by Culture,$this,3
40764996,8636,62235-7,,Albumin [Moles/volume] in Serum or Plasma by Bromocresol green (BCG) dye binding method,$this,30
42529424,8582,82339-3,,Aorta.sinotubular junction Diameter by US 2D,$this,702
42539072,0,,,Confusion Assessment Method short version score,$this,1096
42868678,8753,70204-3,,Cholesterol non HDL [Moles/volume] in Serum or Plasma,$this,303
42869450,8554,71693-6,,Platelets reticulated/100 platelets in Blood by Automated count,$this,15
42869613,8554,71858-5,,Hemoglobin S/Hemoglobin.total [Pure mass fraction] in Blood by HPLC,$this,43
42869844,0,72089-6,,Total score [NIH Stroke Scale],$this,59
43533853,0,73830-2,,Fall risk assessment,$this,185
44782659,44777590,,,Expiratory positive airway pressure,$this,340
44782824,44777590,,,Mean inspiratory airway pressure,$this,7240
44782825,44777590,,,Airway plateau pressure,$this,3
44789825,0,,,Transjugular intrahepatic pressure measurements of portal vein,$this,1
44790183,0,,,Glomerular filtration rate testing,$this,2
44802815,44777613,,,Dialysate flow rate,$this,52
44802820,0,,,Haemodialysis ultrafiltration rate,$this,3860
44806798,44777590,,,Inspiratory positive airway pressure,$this,1060
44810247,0,,,"LACE (length of stay, acuity of admission, comorbidities and emergency department visits) index score",$this,355611
44812281,0,,,Symptom Assessment Scale - nausea score,$this,15117
44816708,0,74816-0,,Bacteria identified in Eye by Anaerobe+Aerobe culture,$this,5
44817158,0,75269-1,,Bacteria identified in Genital specimen by Anaerobe+Aerobe culture,$this,11
45757782,0,,,Hemodialysis blood flow,$this,4011
45769787,44777613,,,Substitution flow rate,$this,52
46236797,8582,77903-3,cm,Tricuspid valve annulus Excursion distance during systole by US.M-mode,$this,1129
46236798,8587,77904-1,mL,Left atrial End-systolic volume by US.2D+Calculated by modified Simpson method,$this,832
46236798,44777662,77904-1,mL,Left atrial End-systolic volume by US.2D+Calculated by modified Simpson method,$this,114
46236802,8582,77908-2,,Aortic valve Vena contracta diameter by US.doppler,$this,14
46236807,8582,77913-2,,Mitral valve Vena contracta diameter by US.doppler,$this,57
46236811,8582,77917-3,,Tricuspid valve Vena contracta diameter by US.doppler,$this,51
46236952,0,69405-9,ml/min/1.73m2,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",$this,10081
46236952,8795,69405-9,ml/min/1.73m2,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",$this,12441
46237003,0,77161-8,,Prothrombin activity [Units/volume] in Platelet poor plasma by Coagulation assay --immediately after addition of factor II depleted plasma,$this,2
46272910,8753,,,Measurement of ionized calcium in blood specimen,$this,40
